City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saint-pierre,-21.3393,55.4781,28.99,74,75,7.72,RE,1675234372
84,trairi,-3.2778,-39.2689,24.08,92,100,3.84,BR,1675234135
85,saint george,37.1041,-113.5841,-1.14,44,0,1.79,US,1675234373
86,nuuk,64.1835,-51.7216,-15.0,85,100,5.49,GL,1675234373
87,gillette,44.2911,-105.5022,-8.49,70,0,6.69,US,1675234078
88,choix,26.7092,-108.3219,16.32,87,100,0.64,MX,1675234374
89,kaharlyk,49.8623,30.8282,-1.78,86,100,3.34,UA,1675234375
90,berlevag,70.8578,29.0864,-0.03,86,75,12.35,NO,1675234375
91,zhanaozen,43.3,52.8,4.35,63,100,4.77,KZ,1675234376
92,khatanga,71.9667,102.5,-43.32,100,56,0.46,RU,1675234376
93,mar del plata,-38.0023,-57.5575,20.49,90,100,2.68,AR,1675234198
94,kamaishi,39.2667,141.8833,5.3,76,82,5.8,JP,1675234377
95,atuona,-9.8,-139.0333,26.2,75,2,9.91,PF,1675234378
96,bexbach,49.3461,7.2553,5.36,94,100,6.69,DE,1675234378
97,sonoita,31.85,-112.8333,9.88,82,84,1.32,MX,1675234379
98,shetpe,44.1667,52.1167,3.31,57,98,2.48,KZ,1675234379
99,talnakh,69.4865,88.3972,-15.44,95,100,4.92,RU,1675234380
100,sorland,67.667,12.6934,1.92,62,32,4.11,NO,1675234381
101,gasa,31.5,34.4667,13.27,64,19,11.11,PS,1675234381
102,chernyshevskiy,63.0128,112.4714,-29.32,97,69,1.5,RU,1675234382
103,valdemarpils,57.3707,22.5919,-0.18,97,100,2.21,LV,1675234382
104,guymon,36.6828,-101.4816,-10.0,85,0,2.06,US,1675234383
105,san patricio,28.017,-97.5169,3.91,85,100,5.67,US,1675234384
106,macau,22.2006,113.5461,23.89,77,20,2.57,MO,1675234335
107,adelaide,-34.9333,138.6,22.8,60,75,7.2,AU,1675233765
108,bela palanka,43.2183,22.3111,3.04,96,99,1.26,RS,1675234386
109,humen,22.819,113.6731,21.95,57,39,2.07,CN,1675234386
110,belaya gora,68.5333,146.4167,-29.87,100,96,1.77,RU,1675234387
111,provideniya,64.3833,-173.3,-6.37,98,100,1.33,RU,1675234149
112,qitaihe,45.8,130.85,-10.33,87,87,5.44,CN,1675234388
113,kozhva,65.1073,57.0459,-4.88,88,100,6.33,RU,1675234389
114,puerto escondido,15.85,-97.0667,23.81,69,0,1.99,MX,1675234197
115,kiama,-34.6833,150.8667,25.14,71,72,3.6,AU,1675234389
116,nabire,-3.3667,135.4833,27.94,76,100,1.41,ID,1675234164
